"","x"
"1",0.5280719360696
"2",4.84695129301321
"3",0.519669555193067
"4",4.93324819706829
"5",0.690536408650511
"6",0.256999230815123
"7",0.617164035811338
"8",0.317932548691125
"9",0.533428223857519
"10",9.27223341659489e-05
"11",0.655151227643614
"12",6.8532184633006e-05
"","x"
"1",0.5280719360696
"2",4.84695129301321
"3",0.519669555193067
"4",4.93324819706829
"5",0.690536408650511
"6",0.256999230815123
"7",0.617164035811338
"8",0.317932548691125
"9",0.533428223857519
"10",9.27223341659489e-05
"11",0.655151227643614
"12",6.8532184633006e-05
"","x"
"1",0.5280719360696
"2",4.84695129301321
"3",0.519669555193067
"4",4.93324819706829
"5",0.690536408650511
"6",0.256999230815123
"7",0.617164035811338
"8",0.317932548691125
"9",0.533428223857519
"10",9.27223341659489e-05
"11",0.655151227643614
"12",6.8532184633006e-05
"13",0.690536408650511
"14",0.256999230815123
"15",0.617164035811338
"16",0.317932548691125
"17",0.533428223857519
"18",9.27223341659489e-05
"19",0.655151227643614
"20",6.8532184633006e-05
